,protocol,io,srcport,dstport,payload
0,1,0,22,0,0.34168092668158484
1,1,1,0,22,196.5
2,1,0,22,0,0.1544524154271423
3,1,1,0,22,184.9090909090909
4,1,1,0,80,50.75
5,1,0,80,0,0.09251386695817644
6,1,1,0,80,57.225
7,1,1,0,80,400.35
8,1,0,80,0,0.0875136645208308
9,1,0,80,0,19.438398315721283
10,1,1,0,80,54.0375
11,1,0,80,0,18.41629215757723
12,1,0,80,0,11.012713065306288
13,1,1,0,80,57.225
14,1,1,0,80,54.0375
15,1,1,0,80,485.1
16,1,0,80,0,0.09267581683468966
17,1,1,0,80,44.375
18,1,0,80,0,0.07702117323185297
19,1,1,0,80,47.5625
20,1,0,80,0,0.0925026313658813
21,1,1,0,80,50.85
22,1,1,0,80,57.225
23,1,1,0,80,478.7375
24,1,0,80,0,0.0823448443382859
25,1,1,0,80,456.75
26,1,0,80,0,0.08234151080884139
27,1,1,0,80,47.5625
28,1,0,80,0,0.09766020321418452
29,1,1,0,80,47.5625
30,1,0,80,0,0.09765625
31,1,1,0,80,60.4125
32,1,1,0,80,60.4125
33,1,1,0,80,469.4125
34,1,0,80,0,0.10298344330648099
35,1,1,0,80,494.6625
36,1,0,80,0,0.10297927461139897
37,1,1,0,80,44.375
38,1,0,80,0,0.09249139850232746
39,1,1,0,80,54.0375
40,1,1,0,80,478.875
41,1,0,80,0,0.09265330904675168
42,1,0,80,0,7.443715846994536
43,1,1,0,80,50.85
44,1,1,0,80,485.1125
45,1,0,80,0,11.1424118528114
46,1,1,0,80,57.225
47,1,1,0,80,485.15
48,1,0,80,0,1.6977412564766838
49,1,1,0,80,60.4125
50,1,1,0,80,450.4625
51,1,0,80,0,2.490912402849741
52,1,1,0,80,491.4125
53,1,0,80,0,6.885306618093503
54,1,1,0,80,50.85
55,1,1,0,80,453.5375
56,1,0,80,0,1.984332618112627
57,1,1,0,80,50.85
58,1,0,80,0,5.3021575453367875
59,1,1,0,80,54.0375
60,1,0,80,0,12.770840924733795
61,1,1,0,80,60.4125
62,1,0,80,0,12.796195102206031
63,1,1,0,80,54.0375
64,1,0,80,0,19.559914176989718
65,1,1,0,80,54.0375
66,1,0,80,0,19.105699943324428
67,1,1,0,80,57.225
68,1,0,80,0,26.144178609019512
69,1,1,0,80,54.0375
70,1,0,80,0,11.48396890940005
71,1,1,0,80,57.225
72,1,0,80,0,18.588794883212564
73,1,1,0,80,57.225
74,1,0,80,0,18.929441768206292
75,1,1,0,80,57.225
76,1,0,80,0,4.415678257701494
77,1,1,0,80,57.225
78,1,0,80,0,13.413144684640919
79,1,1,0,80,57.225
